"";"sub";"item";"cond";"seq";"dependnum";"start";"end";"duration_ms";"correctresp";"subresp";"accuracy"
"334";5;2;6;52;1;13884622;13895541;10919;2;2;1
"335";5;2;6;53;2;13895733;13910082;14349;2;2;1
"336";5;2;6;54;3;13910284;13916964;6680;1;1;1
"337";5;4;8;55;1;14146489;14159105;12616;2;2;1
"338";5;4;8;56;2;14159302;14170214;10912;3;3;1
"339";5;4;8;57;3;14170416;14176864;6448;2;2;1
"340";5;18;6;58;1;14270668;14278135;7467;2;2;1
"341";5;18;6;59;2;14278337;14285298;6961;1;1;1
"342";5;18;6;60;3;14285488;14298218;12730;2;3;0
"343";5;24;4;61;1;14445488;14453228;7740;2;2;1
"344";5;24;4;62;2;14453437;14462370;8933;3;1;0
"345";5;24;4;63;3;14462577;14476137;13560;1;1;1
"346";5;13;1;64;1;14585776;14592624;6848;3;3;1
"347";5;13;1;65;2;14592827;14625756;32929;3;1;0
"348";5;13;1;66;3;14625959;14631181;5222;1;1;1
"349";5;9;5;67;1;14745631;14752560;6929;3;3;1
"350";5;9;5;68;2;14752797;14785284;32487;3;3;1
"351";5;9;5;69;3;14785487;14791434;5947;1;1;1
"352";5;20;8;70;1;14903986;14911598;7612;1;1;1
"353";5;20;8;71;2;14911827;14953329;41502;3;3;1
"354";5;20;8;72;3;14953545;14959911;6366;2;2;1
"355";5;10;6;73;1;15053700;15060741;7041;2;2;1
"356";5;10;6;74;2;15060936;15067966;7030;1;1;1
"357";5;10;6;75;3;15068199;15071974;3775;1;1;1
"358";5;12;8;76;1;15170270;15181220;10950;1;1;1
"359";5;12;8;77;2;15181459;15193503;12044;3;1;0
"360";5;12;8;78;3;15193707;15198411;4704;2;2;1
"361";6;22;3;7;1;22432912;22436656;3744;3;2;0
"362";6;22;3;8;2;22436856;22443498;6642;1;2;0
"363";6;22;3;9;3;22443707;22451505;7798;1;1;1
"364";6;6;3;10;1;22504581;22511479;6898;3;1;0
"365";6;6;3;11;2;22511703;22522837;11134;1;2;0
"366";6;6;3;12;3;22523046;22525536;2490;2;2;1
"367";6;3;8;13;1;22569256;22577518;8262;2;2;1
"368";6;3;8;14;2;22577730;22583638;5908;3;1;0
"369";6;3;8;15;3;22583870;22587692;3822;1;1;1
"370";6;16;5;16;1;22624676;22636732;12056;3;3;1
"371";6;16;5;17;2;22636933;22643906;6973;3;1;0
"372";6;16;5;18;3;22644113;22646715;2602;1;1;1
"373";6;11;8;19;1;22687251;22695213;7962;2;1;0
"374";6;11;8;20;2;22695429;22701213;5784;3;2;0
"375";6;11;8;21;3;22701426;22704780;3354;2;2;1
"376";6;7;4;22;1;22740432;22747511;7079;1;2;0
"377";6;7;4;23;2;22747734;22756153;8419;3;2;0
"378";6;7;4;24;3;22756348;22763020;6672;1;2;0
"379";6;17;6;25;1;22866732;22873009;6277;1;3;0
"380";6;17;6;26;2;22873210;22878626;5416;2;1;0
"381";6;17;6;27;3;22878829;22881634;2805;1;1;1
"382";6;14;3;28;1;22918974;22929849;10875;3;2;0
"383";6;14;3;29;2;22930063;22934149;4086;2;2;1
"384";6;14;3;30;3;22934348;22940699;6351;1;1;1
"385";6;8;5;31;1;22973836;22979172;5336;3;1;0
"386";6;8;5;32;2;22979407;22984966;5559;3;1;0
"387";6;8;5;33;3;22985174;22990222;5048;1;1;1
"388";6;5;2;34;1;23037562;23047288;9726;1;3;0
"389";6;5;2;35;2;23047529;23054978;7449;1;2;0
"390";6;5;2;36;3;23055195;23058703;3508;3;3;1
"391";6;21;2;37;1;23090570;23096093;5523;1;3;0
"392";6;21;2;38;2;23096287;23105485;9198;1;1;1
"393";6;21;2;39;3;23105678;23109353;3675;2;1;0
"394";6;19;8;40;1;23140920;23146008;5088;1;3;0
"395";6;19;8;41;2;23146218;23152000;5782;3;3;1
"396";6;19;8;42;3;23152221;23158740;6519;2;1;0
"397";6;15;4;43;1;23191925;23198573;6648;2;2;1
"398";6;15;4;44;2;23198792;23204564;5772;3;2;0
"399";6;15;4;45;3;23204786;23209315;4529;2;2;1
"400";6;1;6;46;1;23241214;23244862;3648;1;2;0
"401";6;1;6;47;2;23245081;23253272;8191;2;1;0
"402";6;1;6;48;3;23253465;23256363;2898;2;1;0
"403";6;23;4;49;1;23293276;23299937;6661;1;2;0
"404";6;23;4;50;2;23300155;23307369;7214;3;2;0
"405";6;23;4;51;3;23307566;23315402;7836;2;2;1
"406";6;2;7;52;1;23472908;23477813;4905;3;3;1
"407";6;2;7;53;2;23478032;23483820;5788;2;1;0
"408";6;2;7;54;3;23484064;23489754;5690;1;1;1
"409";6;4;1;55;1;23529714;23534036;4322;3;3;1
"410";6;4;1;56;2;23534237;23543895;9658;3;3;1
"411";6;4;1;57;3;23544096;23548595;4499;2;2;1
"412";6;18;7;58;1;23592128;23597782;5654;3;2;0
"413";6;18;7;59;2;23597988;23602916;4928;1;1;1
"414";6;18;7;60;3;23603127;23606243;3116;2;2;1
"415";6;24;5;61;1;23648118;23651916;3798;3;3;1
"416";6;24;5;62;2;23652117;23656373;4256;3;2;0
"417";6;24;5;63;3;23656575;23664465;7890;1;3;0
"418";6;13;2;64;1;23704922;23712046;7124;2;3;0
"419";6;13;2;65;2;23712257;23720146;7889;1;1;1
"420";6;13;2;66;3;23720359;23724820;4461;1;1;1
"421";6;9;6;67;1;23761329;23766135;4806;1;3;0
"422";6;9;6;68;2;23766346;23773652;7306;2;2;1
"423";6;9;6;69;3;23773854;23777885;4031;1;1;1
"424";6;20;1;70;1;23816643;23821074;4431;3;1;0
"425";6;20;1;71;2;23821288;23825774;4486;3;2;0
"426";6;20;1;72;3;23825969;23832567;6598;2;2;1
"427";6;10;7;73;1;23864026;23869790;5764;3;1;0
"428";6;10;7;74;2;23870002;23875233;5231;1;2;0
"429";6;10;7;75;3;23875434;23883473;8039;1;1;1
"430";6;12;1;76;1;23922400;23928996;6596;3;1;0
"431";6;12;1;77;2;23929204;23936046;6842;3;3;1
"432";6;12;1;78;3;23936244;NA;NA;NA;NA;NA
